FACILITY_ID,ON_GRID_AVL,MIN_AIR_2015,MIN_AIR_2016,MIN_GROUND_2015,MIN_GROUND_2016,URBAN,ON_GRID,EA,SOLAR_INC,SOLAR_ONL,DIESEL_INC,DIESEL_ONL,FACILITY_TYPE,cluster
2114007,0,4.9540143,21.193209,19.961317,25.494368,0,0,0,0,0,0,0,1,6
2115001,0,24.455507,25.95536,9.5475264,21.645082,0,1,0,0,0,0,0,1,0
2115002,0,34.603611,26.778751,12.130329,19.089935,0,1,0,0,0,0,0,1,0
2115003,0,24.443562,23.889257,0.3322157,12.13455,0,1,0,0,0,0,0,1,0
2115004,0,28.905807,20.424349,7.7612901,11.723918,0,1,0,0,0,0,0,2,0
2115006,0,27.600054,15.503839,11.265832,8.9242382,0,1,0,0,0,0,0,1,0
2115007,0,6.2274995,7.7436419,11.617625,11.617625,1,0,0,0,0,0,0,1,2
2115008,0,13.557768,6.0119438,20.869053,6.0119438,1,1,1,1,0,0,0,2,2
2115009,0,17.008924,1.0812845,23.250389,1.0812845,1,1,1,1,0,0,0,3,2
2115011,0,19.336445,9.6747913,26.098932,9.6747913,0,0,0,0,0,0,0,1,6
2115012,0,25.2554,15.287827,25.631371,15.287827,0,0,0,0,0,0,0,1,6
2115013,0,41.332172,33.854961,37.501926,33.854961,0,0,0,0,0,0,0,1,6
2115014,0,29.107269,28.57152,34.249218,28.57152,0,0,0,0,0,0,0,1,6
2116001,0,32.865162,17.429449,11.288177,24.883492,0,1,0,0,0,0,0,1,0
2116002,0,21.451437,13.550772,0.12768535,13.550772,0,0,0,0,0,0,0,1,6
2116003,0,20.631878,13.084096,0.28005376,13.084096,1,1,0,0,0,0,0,1,2
2116004,0,17.506987,16.114594,17.531664,17.531664,0,0,1,1,1,0,0,1,1
2116005,0,16.054127,15.251054,19.429985,19.429985,0,0,1,1,1,0,0,1,1
2116006,0,15.917036,7.7475505,6.110167,7.7475505,0,0,1,1,1,0,0,1,1
2116007,0,0.33618093,1.7989062,8.086895,8.086895,1,1,0,0,0,0,0,2,2
2116008,0,8.0633383,0.27173918,0.27173918,0.27173918,1,1,1,1,0,0,0,3,2
2117001,0,44.494583,2.061734,26.540506,39.634056,1,1,0,0,0,0,0,3,2
2117002,0,19.171474,19.171474,26.609785,26.609785,0,1,0,0,0,0,0,1,0
