PC 1,PC 2,cluster
-0.112,-1.003,1
-0.342,-1.014,1
-0.142,-1.005,1
0.007,-0.983,1
-0.091,-1.001,1
-0.331,-1.013,1
-0.28,-1.011,1
-0.134,-1.005,1
-0.093,-1.003,1
-0.184,-1.008,1
-0.086,-1.003,1
2.454,-0.844,1
2.69,-0.841,1
-0.098,-1.001,1
-0.201,-1.012,1
-0.09,-0.989,1
-0.272,-1.002,1
-0.677,-1.031,1
-0.586,-1.025,1
-0.582,-0.394,1
-0.671,-1.03,1
-0.54,-1.024,1
-0.565,-1.024,1
-0.457,-1.02,1
-0.692,-1.031,1
-0.548,-1.026,1
-0.571,-1.026,1
-0.616,-1.029,1
-0.689,-1.031,1
-0.589,-1.026,1
-0.727,-1.033,1
-0.673,-1.031,1
-0.805,-0.406,1
-0.601,-1.028,1
-0.525,-1.022,1
-0.411,-1.018,1
-0.319,-1.013,1
-0.307,-1.017,1
-0.123,-0.992,1
